지역,2017년 01분기 지하1층,2017년 01분기 1층,2017년 01분기 2층,2017년 02분기 지하1층, 2017년 02분기 1층,2017년 02분기 2층
세종특별자치시 임대료,7.8,25.2,12.8,7.8,25.2,12.8
세종특별자치시 효용비율,30.78,100,50.6,30.78,100,50.6
경기도 임대료,7.2,27,11.3,7.2,27.1,11.3
경기도 효용비율,26.54,100,42,26.5,100,41.9
경기도 고양시청 임대료,,22,7.7,,22,7.7
경기도 고양시청 효용비율,,100,34.8,,100,34.8
경기도 광명 임대료,,30.7,12.8,,30.7,12.8
경기도 광명 효용비율,,100,41.7,,100,41.7
경기도 광주광역시시가지 임대료,5.3,30.5,10.4,5.3,30.5,10.4
경기도 광주광역시시가지 효용비율,17.48,100,34.2,17.48,100,34.2
경기도 모란 임대료,,38.5,20.3,,38.6,20.3
경기도 모란 효용비율,,100,52.7,,100,52.6
경기도 병점역 임대료,,15.3,,,15.3,
경기도 병점역 효용비율,,100,,,100,
경기도 부천역 임대료,4.2,24.7,9,4.2,24.9,9
경기도 부천역 효용비율,16.87,100,36.4,16.74,100,36.1
경기도 성남구시가지 임대료,17.3,32.8,9,17.3,32.8,9
경기도 성남구시가지 효용비율,52.83,100,27.4,52.83,100,27.4
경기도 수원역 임대료,,82.4,30.3,,82.4,30.3
경기도 수원역 효용비율,,100,36.7,,100,36.7
경기도 신장/지산/서정 임대료,,15.6,9.5,,15.6,9.5
경기도 신장/지산/서정 효용비율,,100,61.1,,100,61.1
경기도 안성시장 임대료,3.3,12.4,5.3,3.3,12.4,5.3
경기도 안성시장 효용비율,26.15,100,42.6,26.15,100,42.6
경기도 안양역 임대료,8.1,52.5,18.7,8.1,52.5,18.7
경기도 안양역 효용비율,15.43,100,35.7,15.43,100,35.7
경기도 오산시청 임대료,,16.1,9.3,,16.1,9.3
경기도 오산시청 효용비율,,100,58,,100,58
경기도 용인수지 임대료,,26.4,,,26.5,
경기도 용인수지 효용비율,,100,,,100,
