전체,2015년 1분기 지하1층,2015년 1분기 1층,2015년 1분기 2층,2015년 2분기 지하1층,2015년 2분기 1층,2015년 2분기 2층,2015년 3분기 지하1층,2015년 3분기 1층,2015년 3분기 2층,2015년 4분기 지하1층,2015년 4분기 1층,2015년 4분기 2층,2016년 1분기 지하1층,2016년 1분기 1층,2016년 1분기 2층,2016년 2분기 지하1층,2016년 2분기 1층,2016년 2분기 2층,2016년 3분기 지하1층,2016년 3분기 1층,2016년 3분기 2층,2016년 4분기 지하1층,2016년 4분기 1층,2016년 4분기 2층
동대문 임대료,0,44.2,16.3,0,44.5,16,0,44.5,16,0,44.5,16,0,44.5,16.1,0,44.6,16.1,0,44.6,16.1,0,44.6,16.1
동대문 효용비율,0,100,36.9,0,100,36,0,100,36,0,100,36,0,100,36.2,0,100,36.2,0,100,36.1,0,100,36.1
종로 임대료,8.5,59.6,26.1,8.5,61.2,26.1,8.5,61.2,26.1,8.5,61.1,26.1,8.5,61.1,25.5,8.5,61.1,25.5,8.5,61.1,25.5,8.5,60.9,25.5
종로 효용비율,14.26,100,43.7,13.88,100,42.6,13.88,100,42.6,13.9,100,42.6,13.9,100,41.7,13.9,100,41.7,13.9,100,41.7,13.96,100,41.9
충무로 임대료,17.4,42.9,17.6,17.4,42.9,17.6,17.4,42.9,17.6,17.4,42.9,17.6,17.4,42.9,17.6,17.4,42.9,17.6,18.8,44.3,17.6,18.8,44.3,17.4
충무로 효용비율,40.6,100,41.1,40.6,100,41.1,40.6,100,41.1,40.6,100,41.1,40.59,100,41.1,40.56,100,41.1,42.35,100,39.7,42.35,100,39.2
신촌마포 임대료,48.9,54.3,38.6,49.8,54.4,39,50.4,54.5,39,51,54.8,39.5,51,55.1,39.5,50.7,55.1,39.5,50.7,55.1,39.5,50.7,55.1,39.4
신촌마포 효용비율,90.18,100,71.1,91.58,100,71.6,92.47,100,71.6,93.09,100,72,92.64,100,71.7,92.03,100,71.7,92.03,100,71.7,92.03,100,71.6
신촌 임대료,13.7,33.1,20.3,13.7,33.1,20.3,13.7,33.1,20.3,13.7,33.7,20.3,13.7,34.2,20.3,13.7,34.2,20.3,13.7,34.2,20.3,13.7,34.2,19.5
신촌 효용비율,41.4,100,61.4,41.4,100,61.4,41.4,100,61.4,40.61,100,60.2,40.05,100,59.4,40.05,100,59.4,40.05,100,59.4,40.05,100,57.1
홍대합정 임대료,51.1,67.7,40.4,52,67.9,40.8,52.6,68,40.8,53.3,68,41.4,53.3,68,41.4,52.9,68,41.4,52.9,68,41.4,52.9,68,41.4
홍대합정 효용비율,75.5,100,59.7,76.63,100,60.1,77.37,100,60,78.42,100,60.8,78.42,100,60.8,77.9,100,60.8,77.9,100,60.8,77.9,100,60.8
기타 임대료,17.4,34.5,14.8,16,34.4,14.3,16,34.5,14.4,16,34.4,14.4,16,34.5,14.4,16,34.6,14.4,16,34.5,14.5,17.2,34.4,14.5
기타 효용비율,50.35,100,42.8,46.44,100,41.6,46.34,100,41.8,46.43,100,41.9,46.34,100,41.8,46.17,100,41.8,46.36,100,42.1,50.15,100,42.2
성신여대 임대료,17.8,48.3,21.6,17.8,48.3,17.8,17.8,48.3,17.8,17.8,48,17.8,17.8,48,17.8,17.8,48.9,17.8,17.8,48.9,17.8,22.8,48.9,17.8
성신여대 효용비율,36.9,100,44.7,36.9,100,36.9,36.9,100,36.9,37.17,100,37.1,37.17,100,37.1,36.44,100,36.4,36.45,100,36.4,46.63,100,36.4
영등포 임대료,20.9,30.5,14.2,20.9,30.7,14.2,20.9,30.8,14.2,20.9,30.8,14.2,20.9,30.8,14.2,20.9,30.8,14.2,20.9,30.8,14.4,20.9,30.8,14.4
영등포 효용비율,68.58,100,46.7,67.94,100,46.2,67.82,100,46.1,67.82,100,46.1,67.82,100,46.1,67.82,100,46.1,67.83,100,46.8,67.83,100,46.8
용산 임대료,9.5,30.4,13.9,10,30.4,13.7,10,30.6,13.9,10,30.5,13.9,10,30.9,13.9,10,31,14,10,31,14,10,31,14
용산 효용비율,31.15,100,45.6,32.86,100,45.2,32.63,100,45.4,32.72,100,45.5,32.25,100,44.9,32.2,100,45.1,32.2,100,45.1,32.2,100,45.1
청량리 임대료,0,36.6,14.5,0,35.9,14.5,0,35.9,14.5,0,35.9,14.5,0,35.7,14.4,0,35.7,14.4,0,35.3,14.4,0,35,14.4
청량리 효용비율,0,100,39.5,0,100,40.5,0,100,40.5,0,100,40.5,0,100,40.4,0,100,40.4,0,100,40.9,0,100,41.2
부산광역시 임대료,5.8,26.4,10.7,5.8,26.4,10.9,6.1,26.3,10.9,6,26.2,10.9,6,26.2,10.8,6,26.2,10.8,6,26.3,10.8,6,26.2,10.7
부산광역시 효용비율,21.92,100,40.3,21.91,100,41.4,23.19,100,41.6,22.92,100,41.5,22.95,100,41.2,22.91,100,41.1,22.83,100,41,22.97,100,41
