기준년도,기준월,기준일,시군명,건축년도,아파트명,층수,도로명,거래금액(만원),전용면적(㎡)
2017,7,2131,고양시,2000,탄현마을주은,1,산현로,20500,65.25
2017,7,2131,고양시,1995,탄현마을(건영5),4,현중로,24300,68.29
2017,7,2131,고양시,2000,탄현마을삼환,7,현중로,31000,95.31
2017,7,2131,고양시,1995,탄현마을(부영3),10,홀트로,19800,46.58
2017,7,2131,고양시,2009,일산 임광진흥 아파트,12,탄현로,35000,123.8
2017,7,2131,고양시,2000,탄현마을동신,5,산현로17번길,30500,84.98
2017,7,2131,고양시,2003,일신휴먼빌(1655),4,원일로21번길,28200,84.99
2017,7,2131,고양시,2002,일산2차현대홈타운,1,고양대로,26050,80.12
2017,7,2131,고양시,2006,숲속마을3단지(뜨란채),10,숲속마을로,33000,84.56
2017,7,2131,고양시,2001,백마역중앙하이츠빌,8,고일로,30800,84.69
2017,7,2131,고양시,2002,은행마을1(동문),7,은행마을로,27500,72.63
2017,7,2131,고양시,2006,숲속마을5단지(I-PARK),11,숲속마을1로,45000,149.07
2017,7,2131,고양시,2002,쌍용,15,애니골길,42200,144.02
2017,7,2131,고양시,2006,숲속마을2단지,11,숲속마을1로,35850,84.88
2017,7,2131,고양시,2006,숲속마을5단지(I-PARK),18,숲속마을1로,49000,149.07
2017,7,2131,고양시,1998,성원1,16,고풍로,28500,84.39
2017,7,2131,고양시,2006,숲속마을8단지,12,숲속마을1로,29900,59.72
2017,7,2131,고양시,2006,숲속마을8단지,16,숲속마을1로,26700,51.75
2017,7,2131,고양시,2006,숲속마을2단지,5,숲속마을1로,34000,75.82
2017,7,2131,고양시,2006,숲속마을8단지,17,숲속마을1로,28000,59.72
2017,7,2131,고양시,2016,일산요진와이시티,38,강송로,70700,103.82
2017,7,2131,고양시,2016,일산요진와이시티,57,강송로,70000,90.33
2017,7,2131,고양시,1994,백송마을(대우),12,강촌로,32000,69.34
2017,7,2131,고양시,1993,백송마을(대림),1,백석로,26700,58.74
2017,7,2131,고양시,2016,일산요진와이시티,28,강송로,72800,103.41
2017,7,2131,고양시,1994,흰돌마을(서안),1,일산로,28800,59.91
2017,7,2131,고양시,1994,백송마을(두산),7,강촌로,26500,59.76
2017,7,2131,고양시,1995,흰돌마을(청구),17,중앙로,31000,69.63
2017,7,2131,고양시,1993,강촌마을(한신),4,강송로,59000,134.8
2017,7,2131,고양시,1998,"강촌마을, 상가(주상복합)",3,중앙로,19300,35.1
2017,7,2131,고양시,1993,강촌마을(라이프),12,강석로,47000,84.93
2017,7,2131,고양시,1993,강촌마을(라이프),5,강석로,45000,84.93
2017,7,2131,고양시,1993,강촌마을(라이프),16,강석로,43800,84.93
2017,7,2131,고양시,2002,일산2차현대홈타운,23,고양대로,29100,80.12
2017,7,2131,고양시,1994,후곡마을(동성),9,킨텍스로,38000,84.27
2017,7,2131,고양시,1994,후곡마을(현대18),9,일산로,25300,59.93
2017,7,2131,고양시,1999,문촌마을(세경14),3,킨텍스로,28000,49.68
2017,7,2131,고양시,1994,강선마을(두산),13,강선로,35000,59.76
2017,7,2131,고양시,1994,강선마을태영,13,중앙로,19000,41.85
2017,7,2131,고양시,1994,문촌마을(쌍용),11,대산로,49500,134.07
2017,7,2131,고양시,1999,문촌마을(세경14),4,킨텍스로,27250,49.68
2017,7,2131,고양시,1994,문촌마을(쌍용),4,대산로,47500,134.07
2017,7,2131,고양시,1995,강선마을뉴서울,5,중앙로,17900,40.32
2017,7,2131,고양시,1994,문촌마을(우성)3,13,대산로,47700,101.98
2017,7,2131,고양시,1993,강선마을(화성),6,강성로,26500,57.27
2017,7,2131,고양시,1994,문촌마을(뉴삼익),10,주엽로,52800,84.02
2017,7,2131,고양시,1994,강선마을(한신),2,대산로,21400,52.57
2017,7,2131,고양시,1993,백송마을(삼부),6,강촌로,36600,84.99
2017,7,2131,고양시,1993,백송마을(대림),16,백석로,29750,58.74
2017,7,2131,고양시,1994,호수마을(유원),8,노루목로,73500,157.33
2017,7,2131,고양시,2016,일산요진와이시티,5,강송로,46000,59.92
2017,7,2131,고양시,1993,백송마을(대림),8,백석로,30000,58.74
2017,7,2131,고양시,1992,백송마을(우성),14,백석로,19400,37.8
2017,7,2131,고양시,1993,강선마을(롯데),2,강선로,44000,84.99
2017,7,2131,고양시,1993,강선마을(동문),1,주화로,27300,57.92
2017,7,2131,고양시,1993,강선마을(삼환),14,강선로,32000,58.58
2017,7,2131,고양시,1993,강선마을(동신),6,대산로,28900,59.49
2017,7,2131,고양시,1993,강선마을(화성),8,강성로,25000,57.27
2017,7,2131,고양시,1999,문촌마을(세경14),4,킨텍스로,26000,49.68
2017,7,2131,고양시,1994,문촌마을(라이프),9,대산로,55000,171.93
2017,7,2131,고양시,1995,문촌마을(대원),2,주엽로,52000,101.67
2017,7,2131,고양시,1998,강선마을한양,10,중앙로,17800,41.27
2017,7,2131,고양시,1994,강선마을(금호),8,대산로,60000,134.72
2017,7,2131,고양시,1994,문촌마을(우성)3,10,대산로,48000,101.98
